Wine,link,Link_wine,image_link,image_names
Toscana  Vermentino 2015,https://www.vivino.com/IT/en/fattoria-dei-barbi-toscana-vermentino-2015/w/2466765,https://www.wine-searcher.com/find/fattoria+dei+barbi+toscana+vermentino/2015/#t4,https://images.vivino.com/thumbs/BJ_NTIE1RqmqTjVDrbM5Vg_pb_x600.png,ToscanaVermentino2015.png
Campomaccione Rosato 2022,https://www.vivino.com/IT/en/rocca-delle-macie-campomaccione-rosato-tuscany-2022/w/5275931,https://www.wine-searcher.com/find/rocca+delle+macie+campomaccione+rosato+tuscany/2022/#t4,https://images.vivino.com/thumbs/m9zy0pB2Si22nHaPOh-mew_pb_x600.png,CampomaccioneRosato2022.png
Primo Fuoco Rosato 2022,https://www.vivino.com/IT/en/sammontana-primo-fuoco-rosato-2022/w/9166212,https://www.wine-searcher.com/find/sammontana+primo+fuoco+rosato/2022/#t4,https://images.vivino.com/thumbs/wp0tRXK6Rg2xAPWopvitAg_150x200.jpg,PrimoFuocoRosato2022.png
Pian Oro 2017,https://www.vivino.com/IT/en/barbanera-chianti-pian-oro-2017/w/2026977,https://www.wine-searcher.com/find/barbanera+chianti+pian+oro/2017/#t4,https://images.vivino.com/thumbs/XCCswomDQXiN0mkH5dJLtg_pb_x600.png,PianOro2017.png
Ginepraia Rosso 2014,https://www.vivino.com/IT/en/it-uccelliera-ginepraia-rosso-2014/w/1261773,https://www.wine-searcher.com/find/it+uccelliera+ginepraia+rosso/2014/#t4,https://images.vivino.com/thumbs/It2xyxUQSWGn0-z6owqq9g_pb_x600.png,GinepraiaRosso2014.png
Vernaccia di San Gimignano 2021,https://www.vivino.com/IT/en/gattavecchi-vernaccia-di-san-gimignano-2021/w/1135976,https://www.wine-searcher.com/find/gattavecchi+vernaccia+di+san+gimignano/2021/#t4,https://images.vivino.com/thumbs/94Fpw6-HR6aEzeHC4HkVvQ_pb_x600.png,VernacciadiSanGimignano2021.png
Libaio Chardonnay 2022,https://www.vivino.com/IT/en/ruffino-libaio-chardonnay-2022/w/2193,https://www.wine-searcher.com/find/ruffino+libaio+chardonnay/2022/#t4,https://images.vivino.com/thumbs/IyJqNfLqTD-YIRhXSO0HYA_pb_x600.png,LibaioChardonnay2022.png
Pergolaia 2013,https://www.vivino.com/IT/en/caiarossa-pergolaia-2013/w/1101763,https://www.wine-searcher.com/find/caiarossa+pergolaia/2013/#t4,https://images.vivino.com/thumbs/_UJSW1UjRCqxl91gT8fR9g_pb_x600.png,Pergolaia2013.png
La Casina Girasole 2015,https://www.vivino.com/IT/en/podere-il-palazzino-la-casina-girasole-2015/w/1178946,https://www.wine-searcher.com/find/podere+il+palazzino+la+casina+girasole/2015/#t4,https://images.vivino.com/thumbs/iGGDtWuxRwahTHXaZR_Tow_150x200.jpg,LaCasinaGirasole2015.png
Collezione Oro Toscana Rosato 2022,https://www.vivino.com/IT/en/piccini-tuscany-collezione-oro-toscana-rosato-2022/w/8252900,https://www.wine-searcher.com/find/piccini+tuscany+collezione+oro+toscana+rosato/2022/#t4,https://images.vivino.com/thumbs/VmRu_vW6Ry6sv08IoElWKg_pb_x600.png,CollezioneOroToscanaRosato2022.png
Ambræ Bianco di Toscana 2019,https://www.vivino.com/IT/en/azienda-agricola-poliziano-ambrae-bianco-di-toscana-tuscany-2019/w/4317522,https://www.wine-searcher.com/find/azienda+agricola+poliziano+ambrae+bianco+di+toscana+tuscany/2019/#t4,https://images.vivino.com/thumbs/hSb17mK5SkKwZLpeIN_rlA_pb_x600.png,AmbræBiancodiToscana2019.png
Chianti Classico 2020,https://www.vivino.com/IT/en/borgo-scopeto-chianti-classico-2020/w/4284,https://www.wine-searcher.com/find/borgo+scopeto+chianti+classico/2020/#t4,https://images.vivino.com/thumbs/MdECI8vvSHK5G9pjYwn8qQ_pb_x600.png,ChiantiClassico2020.png
Montecucco Vermentino 2019,https://www.vivino.com/IT/en/perazzeta-montecucco-vermentino-2019/w/5656490,https://www.wine-searcher.com/find/perazzeta+montecucco+vermentino/2019/#t4,https://images.vivino.com/thumbs/R9DtYBFmT52WAJNxl1TJHA_150x200.jpg,MontecuccoVermentino2019.png
Casa al Piano Bolgheri 2013,https://www.vivino.com/IT/en/patrimonio-tringali-casanuova-casa-al-piano-bolgheri-2013/w/1328801,https://www.wine-searcher.com/find/patrimonio+tringali+casanuova+casa+al+piano+bolgheri/2013/#t4,https://images.vivino.com/thumbs/u6lDEVl7ThqhRICzEdJ_7Q_pb_x600.png,CasaalPianoBolgheri2013.png
Ambræ Bianco di Toscana 2021,https://www.vivino.com/IT/en/azienda-agricola-poliziano-ambrae-bianco-di-toscana-tuscany-2021/w/4317522,https://www.wine-searcher.com/find/azienda+agricola+poliziano+ambrae+bianco+di+toscana+tuscany/2021/#t4,https://images.vivino.com/thumbs/hSb17mK5SkKwZLpeIN_rlA_pb_x600.png,AmbræBiancodiToscana2021.png
Barco Reale di Carmignano 2020,https://www.vivino.com/IT/en/tenuta-di-capezzana-barco-reale-di-carmignano-2020/w/7864,https://www.wine-searcher.com/find/tenuta+di+capezzana+barco+reale+di+carmignano/2020/#t4,https://images.vivino.com/thumbs/J7EfyJW3RVGsW7bqQp4wig_pb_x600.png,BarcoRealediCarmignano2020.png
Toscana Rossa del Cerro 2019,https://www.vivino.com/IT/en/capanna-toscana-rossa-del-cerro-2019/w/1297919,https://www.wine-searcher.com/find/capanna+toscana+rossa+del+cerro/2019/#t4,https://images.vivino.com/thumbs/M5XMH6pqSqCiVm4LLiHsAg_pb_x600.png,ToscanaRossadelCerro2019.png
Sangiovese 2019,https://www.vivino.com/IT/en/la-mozza-sangiovese-2019/w/9785746,https://www.wine-searcher.com/find/la+mozza+sangiovese/2019/#t4,https://images.vivino.com/thumbs/fhUpwy_YSzy6Fm1x2Q5mwQ_150x200.jpg,Sangiovese2019.png
Masso Vivo Vermentino 2017,https://www.vivino.com/IT/en/tenuta-ammiraglia-tuscany-masso-vivo-vermentino-2017/w/5845377,https://www.wine-searcher.com/find/tenuta+ammiraglia+tuscany+masso+vivo+vermentino/2017/#t4,https://images.vivino.com/thumbs/O9Apk51ASYutRDzEpU37Kw_pb_x600.png,MassoVivoVermentino2017.png
Chianti Riserva 2018,https://www.vivino.com/IT/en/azienda-uggiano-chianti-riserva-2018/w/1184829,https://www.wine-searcher.com/find/azienda+uggiano+chianti+riserva/2018/#t4,https://images.vivino.com/thumbs/SFUyoJh2RXyxg0ELUYCQyA_pb_x600.png,ChiantiRiserva2018.png
Eulalia 2012,https://www.vivino.com/IT/en/podere-spazzavento-eulalia-tuscany-2012/w/4447764,https://www.wine-searcher.com/find/podere+spazzavento+eulalia+tuscany/2012/#t4,https://images.vivino.com/thumbs/l7Hw8xZvTGmebC-pr28eUg_150x200.jpg,Eulalia2012.png
Brut N.V.,https://www.vivino.com/IT/en/carpineto-brut-nv/w/1119846,https://www.wine-searcher.com/find/carpineto+br/t+nv/#t4,https://images.vivino.com/thumbs/zoTpWPmTQ-K7TpTnjBPL5Q_pb_x600.png,BrutN.V..png
Maremma Toscana Sangiovese 2019,https://www.vivino.com/IT/en/sassoregale-maremma-toscana-sangiovese-2019/w/1144546,https://www.wine-searcher.com/find/sassoregale+maremma+toscana+sangiovese/2019/#t4,https://images.vivino.com/thumbs/R_GfedfFQWSJQwHh5y3wkA_pb_x600.png,MaremmaToscanaSangiovese2019.png
Collezione Oro Toscana Rosso 2018,https://www.vivino.com/IT/en/piccini-tuscany-collezione-oro-toscana-rosso-2018/w/1240173,https://www.wine-searcher.com/find/piccini+tuscany+collezione+oro+toscana+rosso/2018/#t4,https://images.vivino.com/thumbs/ig5F2AAWTWCe2ae60OcAWQ_pb_x600.png,CollezioneOroToscanaRosso2018.png
Acquagiusta Vermentino 2022,https://www.vivino.com/IT/en/it-la-badiola-acquagiusta-vermentino-2022/w/1308693,https://www.wine-searcher.com/find/it+la+badiola+acquagiusta+vermentino/2022/#t4,https://images.vivino.com/thumbs/h7_DYUZUQsqjgbPybzvpbg_pb_x600.png,AcquagiustaVermentino2022.png
Acquagiusta Rosato 2022,https://www.vivino.com/IT/en/it-la-badiola-acquagiusta-rosato-2022/w/1650596,https://www.wine-searcher.com/find/it+la+badiola+acquagiusta+rosato/2022/#t4,https://images.vivino.com/thumbs/hTHQyfSVQlWc9PT9DvXb6w_pb_x600.png,AcquagiustaRosato2022.png
Morellino di Scansano 2022,https://www.vivino.com/IT/en/fattoria-le-pupille-morellino-di-scansano-2022/w/1367830,https://www.wine-searcher.com/find/fattoria+le+pupille+morellino+di+scansano/2022/#t4,https://images.vivino.com/thumbs/3v9PUIg7TT2wxt3Auf8zCA_pb_x600.png,MorellinodiScansano2022.png
Chianti Riserva 2020,https://www.vivino.com/IT/en/azienda-uggiano-chianti-riserva-2020/w/1184829,https://www.wine-searcher.com/find/azienda+uggiano+chianti+riserva/2020/#t4,https://images.vivino.com/thumbs/SFUyoJh2RXyxg0ELUYCQyA_pb_x600.png,ChiantiRiserva2020.png
Fuori Misura Toscana Rosato 2022,https://www.vivino.com/IT/en/san-giusto-a-rentennano-fuori-misura-toscana-rosato-2022/w/5123395,https://www.wine-searcher.com/find/san+giusto+a+rentennano+fuori+misura+toscana+rosato/2022/#t4,https://images.vivino.com/thumbs/ldx4u-2XQx2qDfg2EdiGpg_pb_x600.png,FuoriMisuraToscanaRosato2022.png
Rosso di Montepulciano 2020,https://www.vivino.com/IT/en/azienda-agricola-poliziano-rosso-di-montepulciano-2020/w/18793,https://www.wine-searcher.com/find/azienda+agricola+poliziano+rosso+di+montepulciano/2020/#t4,https://images.vivino.com/thumbs/ajwfoXnBQ2WztKF6GgIjnQ_pb_x600.png,RossodiMontepulciano2020.png
Rosso di Montepulciano 2013,https://www.vivino.com/IT/en/azienda-agricola-poliziano-rosso-di-montepulciano-2013/w/18793,https://www.wine-searcher.com/find/azienda+agricola+poliziano+rosso+di+montepulciano/2013/#t4,https://images.vivino.com/thumbs/ajwfoXnBQ2WztKF6GgIjnQ_pb_x600.png,RossodiMontepulciano2013.png
